,Comment,Train Score,Cross-val Score,Test RMSE
0,Part 3 Baseline,27.134698314749254,34.734971945061034,33.37721
1,Location_enc,27.13479348673486,34.73477727094502,
2,+ week_no_enc,28.19069499224967,35.117530615356216,
3,1 + latit+longit,27.134846875845756,34.73426980295757,
4,+ Location_cluster_2,27.13484661558742,34.734320640872056,
5,3 + Location_cluster_4,27.134827458905203,34.734975405625256,
6,1 + latit+longit,28.530192777569173,35.66515249014264,
7,15 features with NaNs,28.530192777569173,35.66515249014264,
8,15 features with NaNs,28.530192777569173,35.66515249014264,
9,6 + kNN imputing,28.530192777569173,35.66515249014264,
10,6 + kNN imputing,28.54110194229518,35.587797967252826,
11,kNN imputing,28.521961993133402,35.61777158498201,
12,kNN imputing based on 5,28.58208863665687,35.618328768874285,
